C:\Users\jnnascimento\Documents\IMG\center_2020_09_22_22_25_01_562.jpg,C:\Users\jnnascimento\Documents\IMG\left_2020_09_22_22_25_01_562.jpg,C:\Users\jnnascimento\Documents\IMG\right_2020_09_22_22_25_01_562.jpg,0,0,0,22.6457
C:\Users\jnnascimento\Documents\IMG\center_2020_09_22_22_25_01_673.jpg,C:\Users\jnnascimento\Documents\IMG\left_2020_09_22_22_25_01_673.jpg,C:\Users\jnnascimento\Documents\IMG\right_2020_09_22_22_25_01_673.jpg,0,0,0,22.41833
C:\Users\jnnascimento\Documents\IMG\center_2020_09_22_22_25_01_780.jpg,C:\Users\jnnascimento\Documents\IMG\left_2020_09_22_22_25_01_780.jpg,C:\Users\jnnascimento\Documents\IMG\right_2020_09_22_22_25_01_780.jpg,0,0,0,22.19324
C:\Users\jnnascimento\Documents\IMG\center_2020_09_22_22_25_01_891.jpg,C:\Users\jnnascimento\Documents\IMG\left_2020_09_22_22_25_01_891.jpg,C:\Users\jnnascimento\Documents\IMG\right_2020_09_22_22_25_01_891.jpg,0,0,0,21.92612
C:\Users\jnnascimento\Documents\IMG\center_2020_09_22_22_25_01_999.jpg,C:\Users\jnnascimento\Documents\IMG\left_2020_09_22_22_25_01_999.jpg,C:\Users\jnnascimento\Documents\IMG\right_2020_09_22_22_25_01_999.jpg,0,0,0,21.70598
C:\Users\jnnascimento\Documents\IMG\center_2020_09_22_22_25_02_104.jpg,C:\Users\jnnascimento\Documents\IMG\left_2020_09_22_22_25_02_104.jpg,C:\Users\jnnascimento\Documents\IMG\right_2020_09_22_22_25_02_104.jpg,0,0,0,21.44473
C:\Users\jnnascimento\Documents\IMG\center_2020_09_22_22_25_02_209.jpg,C:\Users\jnnascimento\Documents\IMG\left_2020_09_22_22_25_02_209.jpg,C:\Users\jnnascimento\Documents\IMG\right_2020_09_22_22_25_02_209.jpg,0,0,0,21.22943
C:\Users\jnnascimento\Documents\IMG\center_2020_09_22_22_25_02_317.jpg,C:\Users\jnnascimento\Documents\IMG\left_2020_09_22_22_25_02_317.jpg,C:\Users\jnnascimento\Documents\IMG\right_2020_09_22_22_25_02_317.jpg,0,0,0,21.01628
C:\Users\jnnascimento\Documents\IMG\center_2020_09_22_22_25_02_424.jpg,C:\Users\jnnascimento\Documents\IMG\left_2020_09_22_22_25_02_424.jpg,C:\Users\jnnascimento\Documents\IMG\right_2020_09_22_22_25_02_424.jpg,0,0.1624125,0,20.84414
C:\Users\jnnascimento\Documents\IMG\center_2020_09_22_22_25_02_531.jpg,C:\Users\jnnascimento\Documents\IMG\left_2020_09_22_22_25_02_531.jpg,C:\Users\jnnascimento\Documents\IMG\right_2020_09_22_22_25_02_531.jpg,0,0.4830192,0,21.10991
